shipping_address_id,country,street,city,state/province,postal_code,phone_number
84026,Libya,1069 Main St,Sydney,ENG,33769,Phone Number
31385,Canada,8872 Main St,Toronto,NY,98001,Phone Number
33283,Libya,2924 Main St,Tokyo,BE,97404,Phone Number
92401,Japan,1311 Main St,New York,BE,30156,Phone Number
12927,Chad,329 Main St,London,ON,95836,Phone Number
84306,Armenia,4384 Main St,Berlin,NY,60481,Phone Number
78046,Eritrea,3285 Main St,Berlin,ON,23435,Phone Number
83414,Montenegro,601 Main St,Sydney,BE,79650,Phone Number
33603,Jamaica,148 Main St,Sydney,BE,56336,Phone Number
43670,Fiji,3666 Main St,New York,NY,46135,Phone Number
94786,Togo,3155 Main St,Tokyo,ON,83631,Phone Number
84698,Montenegro,8980 Main St,Toronto,ON,47909,Phone Number
71218,Greece,486 Main St,Tokyo,NY,79487,Phone Number
32895,Sudan,1069 Main St,Tokyo,ON,31468,Phone Number
49701,Maldives,9297 Main St,Tokyo,TYO,57655,Phone Number
53049,Montenegro,5920 Main St,New York,BE,44341,Phone Number
70116,Estonia,3152 Main St,New York,NSW,74182,Phone Number
57729,Greenland,7497 Main St,Toronto,ENG,61786,Phone Number
63888,Cape Verde,2402 Main St,Tokyo,ON,78304,Phone Number
13711,Senegal,2383 Main St,New York,ON,56514,Phone Number
20799,Federated States of Micronesia,9899 Main St,Toronto,ENG,43979,Phone Number
24114,Bulgaria,4466 Main St,Berlin,ON,90981,Phone Number
38607,Algeria,222 Main St,Toronto,ENG,65107,Phone Number
37489,Mongolia,6899 Main St,Tokyo,NY,11160,Phone Number
38899,Grenada,9572 Main St,London,TYO,97897,Phone Number
80018,Grenada,3827 Main St,Tokyo,TYO,82577,Phone Number
92543,Senegal,8550 Main St,London,BE,94303,Phone Number
49433,Greenland,9239 Main St,Toronto,NSW,20846,Phone Number
11564,Chad,5058 Main St,Berlin,ON,29924,Phone Number
75398,Mauritius ,624 Main St,Berlin,NSW,23882,Phone Number
50995,Morocco,9179 Main St,New York,NY,90274,Phone Number
10485,Honduras,8499 Main St,Berlin,TYO,96555,Phone Number
74843,Benin,248 Main St,Sydney,NY,11095,Phone Number
24889,Greece,8101 Main St,Toronto,NY,50983,Phone Number
63011,Jamaica,537 Main St,New York,ON,24123,Phone Number
94986,Equatorial Guinea,3849 Main St,Berlin,NY,76615,Phone Number
60561,Swaziland,8286 Main St,Toronto,TYO,55278,Phone Number
75921,Trinidad and Tobago,4553 Main St,Tokyo,NSW,61999,Phone Number
64629,Sweden,5436 Main St,Berlin,TYO,41153,Phone Number
68540,Belarus,4651 Main St,London,ON,28344,Phone Number
92321,Guinea-Bissau,2923 Main St,Toronto,TYO,47656,Phone Number
23672,Mongolia,5828 Main St,New York,ENG,80515,Phone Number
86280,Turkey,8777 Main St,Tokyo,NSW,11212,Phone Number
73706,Central African Republic,8491 Main St,Sydney,ENG,19001,Phone Number
39805,Equatorial Guinea,2082 Main St,Tokyo,ENG,88784,Phone Number
73510,Laos,7096 Main St,Berlin,BE,91144,Phone Number
90717,Armenia,9763 Main St,London,ON,46427,Phone Number
55507,Greece,2411 Main St,Tokyo,NY,41368,Phone Number
59527,Israel,7325 Main St,Sydney,ENG,80819,Phone Number
82048,Bhutan,9813 Main St,New York,TYO,71160,Phone Number
15750,Vanuatu,704 Main St,Toronto,NY,35854,Phone Number
74626,Burundi,8275 Main St,London,TYO,20715,Phone Number
42458,Ukraine,5885 Main St,Sydney,TYO,91701,Phone Number
96672,Croatia,9709 Main St,Berlin,NY,68784,Phone Number
26607,Madagascar,4697 Main St,Berlin,NY,36797,Phone Number
15673,Malaysia,7859 Main St,Berlin,TYO,57573,Phone Number
96264,Uzbekistan,7632 Main St,London,ON,86120,Phone Number
75957,Italy,8840 Main St,Tokyo,NSW,24780,Phone Number
41638,Nepal,938 Main St,London,BE,47905,Phone Number
53781,Fiji,3915 Main St,Berlin,NSW,31573,Phone Number
95077,Portugal,947 Main St,Sydney,ON,43359,Phone Number
37867,Panama,4809 Main St,Toronto,BE,76062,Phone Number
27793,Belarus,4607 Main St,Toronto,NY,83391,Phone Number
65729,Botswana,6675 Main St,London,BE,53463,Phone Number
24844,Tanzania,4873 Main St,Berlin,TYO,26571,Phone Number
53084,Romania,4568 Main St,New York,NSW,29142,Phone Number
50269,Mali,5292 Main St,London,BE,35104,Phone Number
92936,Central African Republic,3420 Main St,Berlin,TYO,18625,Phone Number
55898,Niger,4798 Main St,Tokyo,ON,49199,Phone Number
13435,Austria,4411 Main St,Toronto,BE,25926,Phone Number
81354,India,3773 Main St,Toronto,TYO,41218,Phone Number
53319,Luxembourg,1664 Main St,Toronto,ON,54472,Phone Number
52540,Cape Verde,1940 Main St,New York,NY,30566,Phone Number
28841,Sweden,6158 Main St,Berlin,ON,66125,Phone Number
99503,Iceland,7231 Main St,Berlin,ON,43205,Phone Number
39079,Qatar,826 Main St,Berlin,NSW,39717,Phone Number
22495,South Sudan,9536 Main St,Berlin,TYO,59984,Phone Number
31913,United Kingdom,6797 Main St,New York,BE,35135,Phone Number
34691,Tunisia ,9357 Main St,Sydney,NSW,38164,Phone Number
23283,United States of America,382 Main St,London,ENG,84489,Phone Number
69154,Liberia,1181 Main St,London,ON,48562,Phone Number
42727,Eritrea,3985 Main St,Berlin,ENG,79110,Phone Number
88231,South Korea,2981 Main St,Tokyo,NSW,30169,Phone Number
48612,Kenya,3070 Main St,Toronto,TYO,69858,Phone Number
43903,Rwanda,9444 Main St,New York,NSW,31604,Phone Number
74011,Cuba,7085 Main St,Tokyo,TYO,99670,Phone Number
40364,Libya,1047 Main St,Tokyo,TYO,98738,Phone Number
56661,Czech Republic,4860 Main St,Berlin,NY,10684,Phone Number
85649,Montenegro,166 Main St,New York,ON,18007,Phone Number
20944,Montenegro,8928 Main St,London,NSW,51787,Phone Number
32726,Philippines,8605 Main St,Toronto,TYO,59582,Phone Number
26303,El Salvador,664 Main St,London,NSW,84791,Phone Number
32608,Tonga,9893 Main St,Tokyo,NSW,93629,Phone Number
57168,Democratic Republic of the Congo,9117 Main St,Toronto,TYO,15782,Phone Number
28039,Afghanistan,3770 Main St,Sydney,BE,76770,Phone Number
71243,Tuvalu,9317 Main St,Tokyo,ENG,67645,Phone Number
23678,Sudan,2351 Main St,London,ON,41996,Phone Number
34991,Niger,904 Main St,London,ON,39204,Phone Number
19197,Gabon,4731 Main St,Berlin,BE,27152,Phone Number
69184,East Timor,9683 Main St,London,NY,65186,Phone Number
74730,United States of America,1335 Main St,New York,BE,95024,Phone Number
59592,Jordan,6820 Main St,Tokyo,NY,29689,Phone Number
22263,Cyprus,7006 Main St,Toronto,NY,60690,Phone Number
54357,Malawi,6116 Main St,London,BE,93251,Phone Number
62756,Iceland,3649 Main St,Berlin,ON,67320,Phone Number
46717,Israel,8038 Main St,Berlin,ENG,74226,Phone Number
62683,United Arab Emirates,4241 Main St,London,ON,66091,Phone Number
99297,China,7066 Main St,New York,ON,89301,Phone Number
68197,Kenya,9646 Main St,Berlin,ON,31942,Phone Number
15163,Somalia,5435 Main St,Toronto,BE,48712,Phone Number
52845,Tonga,5177 Main St,Tokyo,BE,75277,Phone Number
72081,Bangladesh,5711 Main St,Sydney,BE,59632,Phone Number
99228,Egypt,8189 Main St,New York,ON,48031,Phone Number
90223,Eritrea,2992 Main St,Berlin,ENG,30478,Phone Number
90697,Swaziland,5677 Main St,Tokyo,NY,32551,Phone Number
64515,Vietnam,3718 Main St,Sydney,NSW,58068,Phone Number
22527,Marshall Islands,1659 Main St,London,NY,45561,Phone Number
